2026-02-18 14:47:24 | INFO     | base.py:11 | get_async_engine | 异步数据库引擎创建成功: mysql+asyncmy://root:02crhstc@localhost:3306/agent_project
2026-02-18 14:47:38 | INFO     | base.py:11 | get_async_engine | 异步数据库引擎创建成功: mysql+asyncmy://root:02crhstc@localhost:3306/agent_project
2026-02-18 14:47:53 | INFO     | vector_doc.py:236 | create_vector_store | ==================================================
2026-02-18 14:47:53 | INFO     | vector_doc.py:237 | create_vector_store | 🚀 开始构建法规条文知识库，路径: /home/RAG_agent/files/law_md | re_build=False
2026-02-18 14:47:53 | INFO     | vector_doc.py:238 | create_vector_store | ==================================================
2026-02-18 14:47:54 | INFO     | vector_doc.py:317 | create_vector_store | → 未启用重建，尝试从缓存文件加载文档用于 BM25...
2026-02-18 14:47:54 | INFO     | vector_doc.py:229 | load_docs_from_cache | ✓ 从缓存加载 22960 条文档
2026-02-18 14:47:54 | INFO     | vector_doc.py:326 | create_vector_store | ✓ 从缓存成功加载 22960 条文档用于 BM25
2026-02-18 14:48:03 | INFO     | vector_doc.py:339 | create_vector_store | 📊 最终索引: 22960 条 | 平均token长度: 58 | 最大token长度: 993
2026-02-18 14:48:03 | INFO     | vector_doc.py:340 | create_vector_store | ==================================================
2026-02-18 14:48:03 | INFO     | vector_doc.py:342 | create_vector_store | ✅ 已从缓存加载文档，BM25 初始化完成
2026-02-18 14:48:04 | INFO     | base.py:25 | init_db | 数据库表初始化完成
2026-02-18 14:48:57 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？
2026-02-18 14:49:00 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:00 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:00 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？
2026-02-18 14:49:00 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:00 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:00 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？
2026-02-18 14:49:00 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:00 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:00 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:00 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:00 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:00 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:00 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:00 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:00 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:01 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:01 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:01 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:01 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:01 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:01 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:01 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:01 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:01 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？包括申请、受理、开庭、裁决等具体步骤和法律依据
2026-02-18 14:49:02 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:02 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:02 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:02 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:02 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:02 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:02 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:02 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:02 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？
2026-02-18 14:49:02 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:02 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:02 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？
2026-02-18 14:49:02 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:02 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:02 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？包括申请、受理、开庭、裁决等具体步骤和法律依据
2026-02-18 14:49:03 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:03 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:03 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:03 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:03 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:03 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:03 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:03 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:03 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？包括申请、受理、开庭、裁决等具体步骤和法律依据
2026-02-18 14:49:03 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:03 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:03 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？
2026-02-18 14:49:04 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:04 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:04 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:04 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:04 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:04 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:04 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:04 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:04 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？包括申请、受理、开庭、裁决等具体步骤和法律依据
2026-02-18 14:49:04 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:04 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:04 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:05 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:05 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:05 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？
2026-02-18 14:49:05 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:05 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:05 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:05 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:05 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:05 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:05 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:05 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:05 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程包括哪些步骤？具体程序和法律规定是什么？
2026-02-18 14:49:05 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:05 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:05 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？包括申请、受理、开庭、裁决等具体步骤和法律依据
2026-02-18 14:49:06 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:06 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:06 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:06 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:06 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:06 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:06 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:06 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:06 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:06 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:06 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:06 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:06 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:06 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:07 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:08 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:08 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:08 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:08 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:08 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:08 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？
2026-02-18 14:49:08 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:08 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:08 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:08 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:08 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:08 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:09 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:09 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
2026-02-18 14:49:09 | INFO     | retrieve.py:32 | _sync_retrieve | 执行向量库检索， 查询内容：劳动仲裁的流程是什么？具体包括哪些步骤和法律依据？
2026-02-18 14:49:09 | INFO     | retrieve.py:61 | _sync_retrieve | → 向量库 检索结果：10 条
2026-02-18 14:49:09 | INFO     | retrieve.py:62 | _sync_retrieve | → BM25 检索结果：10 条
